Country, Region, Population, Area (sq. mi.), Coastline (coast area sq. mi.), GDP, Literacy (%), Birthrate (per 1000 people), Deathrate (per 1000 people), Agriculture in GDP (%), Industry in GDP (%), Service in GDP (%) 
Paraguay ,LATIN AMER. & CARIB    ,6506464,406750,0,4700,94,"29,1","4,49","0,224","0,207","0,569"
Peru ,LATIN AMER. & CARIB    ,28302603,1285220,"0,19",5100,"90,9","20,48","6,23","0,08","0,27","0,65"
Philippines ,ASIA (EX. NEAR EAST)         ,89468677,300000,"12,1",4600,"92,6","24,89","5,41","0,144","0,326","0,53"
Poland ,EASTERN EUROPE                     ,38536869,312685,"0,16",11100,"99,8","9,85","9,89","0,05","0,311","0,64"
Portugal ,WESTERN EUROPE                     ,10605870,92391,"1,94",18000,"93,3","10,72","10,5","0,053","0,274","0,673"
Puerto Rico ,LATIN AMER. & CARIB    ,3927188,13790,"3,63",16800,"94,1","12,77","7,65","0,01","0,45","0,54"
Qatar ,NEAR EAST                          ,885359,11437,"4,92",21500,"82,5","15,56","4,72","0,002","0,801","0,197"
Reunion ,SUB-SAHARAN AFRICA                 ,787584,2517,"8,22",5800,"88,9","18,9","5,49","0,08","0,19","0,73"
Romania ,EASTERN EUROPE                     ,22303552,237500,"0,09",7000,"98,4","10,7","11,77","0,101","0,35","0,549"
Russia ,C.W. OF IND. STATES ,142893540,17075200,"0,22",8900,"99,6","9,95","14,65","0,054","0,371","0,575"
Rwanda ,SUB-SAHARAN AFRICA                 ,8648248,26338,0,1300,"70,4","40,37","16,09","0,401","0,229","0,37"
Saint Helena ,SUB-SAHARAN AFRICA                 ,7502,413,"14,53",2500,97,"12,13","6,53",,,
Saint Kitts & Nevis ,LATIN AMER. & CARIB    ,39129,261,"51,72",8800,97,"18,02","8,33","0,035","0,258","0,707"
Saint Lucia ,LATIN AMER. & CARIB    ,168458,616,"25,65",5400,67,"19,68","5,08","0,07","0,2","0,73"
St Pierre & Miquelon ,NORTHERN AMERICA                   ,7026,242,"49,59",6900,99,"13,52","6,83",,,
Saint Vincent and the Grenadines ,LATIN AMER. & CARIB    ,117848,389,"21,59",2900,96,"16,18","5,98","0,1","0,26","0,64"
Samoa ,OCEANIA                            ,176908,2944,"13,69",5600,"99,7","16,43","6,62","0,114","0,584","0,302"
San Marino ,WESTERN EUROPE                     ,29251,61,0,34600,96,"10,02","8,17",,,
Sao Tome & Principe ,SUB-SAHARAN AFRICA                 ,193413,1001,"20,88",1200,"79,3","40,25","6,47","0,167","0,148","0,684"
Saudi Arabia ,NEAR EAST                          ,27019731,1960582,"0,13",11800,"78,8","29,34","2,58","0,033","0,613","0,354"
Senegal ,SUB-SAHARAN AFRICA                 ,11987121,196190,"0,27",1600,"40,2","32,78","9,42","0,172","0,209","0,619"
Serbia ,EASTERN EUROPE                     ,9396411,88361,0,2200,93,,,"0,166","0,255","0,579"
Seychelles ,SUB-SAHARAN AFRICA                 ,81541,455,"107,91",7800,58,"16,03","6,29","0,032","0,304","0,665"
Sierra Leone ,SUB-SAHARAN AFRICA                 ,6005250,71740,"0,56",500,"31,4","45,76","23,03","0,49","0,31","0,21"
